Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,RBLX,RBLX,RBLX,RBLX,RBLX,,,
2021-04-09,2021,4,9,Friday,14,2021-14,70.5,74.99,70.21,71.83,9245500,0.015121532822514716,68.50642857142857,69.815
2021-04-12,2021,4,12,Monday,15,2021-15,71.82,77.0,71.51,75.0,8004100,0.04413195166556161,68.86357142857143,70.0404347826087
2021-04-13,2021,4,13,Tuesday,15,2021-15,74.69,83.41,73.51,82.05,17893700,0.09400004069010426,69.86714285714285,70.54083333333334
2021-04-14,2021,4,14,Wednesday,15,2021-15,79.11,80.57,74.05,75.35,14785800,-0.08165757865249923,70.64214285714286,70.7332
2021-04-15,2021,4,15,Thursday,15,2021-15,75.5,80.75,74.56,79.66,8841100,0.05719980458219309,71.48571428571428,71.07653846153846
2021-04-16,2021,4,16,Friday,15,2021-15,78.0,79.36,75.12,75.85,5156200,-0.0478283330760193,71.83428571428571,71.25333333333333
2021-04-19,2021,4,19,Monday,16,2021-16,75.87,78.3,71.43,72.0,6637700,-0.050758056052363054,72.18928571428572,71.28
2021-04-20,2021,4,20,Tuesday,16,2021-16,71.5,71.74,67.3,69.24,8393600,-0.038333363003201004,72.48,71.20965517241379
2021-04-21,2021,4,21,Wednesday,16,2021-16,68.81,71.99,67.6,71.76,4525000,0.036395210141673795,72.975,71.22800000000001
2021-04-22,2021,4,22,Thursday,16,2021-16,71.5,73.79,69.1,69.85,3372200,-0.02661654968297511,73.15428571428572,71.18354838709678
2021-04-23,2021,4,23,Friday,16,2021-16,70.04,72.38,69.59,71.78,2729300,0.02763064205206578,73.22714285714287,71.2021875
2021-04-26,2021,4,26,Monday,17,2021-17,72.0,75.92,71.31,74.9,4192700,0.04346618556201376,73.48285714285714,71.31424242424242
2021-04-27,2021,4,27,Tuesday,17,2021-17,74.77,75.37,72.33,74.35,3200600,-0.007343164760387655,73.88428571428571,71.4035294117647
2021-04-28,2021,4,28,Wednesday,17,2021-17,74.77,76.93,73.64,75.64,3084300,0.017350382542056897,74.23285714285714,71.52457142857143
2021-04-29,2021,4,29,Thursday,17,2021-17,76.71,77.6,72.83,76.12,4374900,0.006345893188879126,74.53928571428571,71.65222222222222
2021-04-30,2021,4,30,Friday,17,2021-17,74.81,76.99,73.91,74.55,2420200,-0.02062532367544767,74.50714285714285,71.73054054054055
2021-05-03,2021,5,3,Monday,18,2021-18,74.86,75.1,70.61,71.08,3212200,-0.046545956789485365,73.72357142857142,71.71342105263159
2021-05-04,2021,5,4,Tuesday,18,2021-18,71.0,71.69,67.66,69.62,5379900,-0.020540222944040343,73.3142857142857,71.65974358974358
2021-05-05,2021,5,5,Wednesday,18,2021-18,70.6,70.88,66.46,66.59,4584800,-0.04352206677900716,72.38071428571429,71.533
2021-05-06,2021,5,6,Thursday,18,2021-18,66.5,67.0,63.83,65.06,6004200,-0.022976405818275758,71.61,71.37512195121951
2021-05-07,2021,5,7,Friday,18,2021-18,67.01,68.48,66.2,67.9,4808200,0.043652076142908225,71.31714285714285,71.29238095238095
2021-05-10,2021,5,10,Monday,19,2021-19,68.84,69.29,64.0,64.0,8124100,-0.05743742913455585,70.94285714285714,71.12279069767442
2021-05-11,2021,5,11,Tuesday,19,2021-19,64.88,77.79,64.7,77.65,30995000,0.2132812738418579,71.36357142857143,71.27113636363636
2021-05-12,2021,5,12,Wednesday,19,2021-19,74.21,76.0,71.09,75.53,20823900,-0.027302030971312785,71.76928571428572,71.36577777777778
2021-05-13,2021,5,13,Thursday,19,2021-19,75.15,75.15,67.51,69.68,17769500,-0.07745264886360104,71.61928571428571,71.32913043478261
2021-05-14,2021,5,14,Friday,19,2021-19,71.2,73.43,69.25,70.95,7676300,0.018226128552012444,71.33714285714287,71.32106382978724
2021-05-17,2021,5,17,Monday,20,2021-20,70.95,76.97,70.91,76.93,16797600,0.08428475847991912,71.52142857142857,71.43791666666667
2021-05-18,2021,5,18,Tuesday,20,2021-20,76.7,77.59,73.48,74.99,11688200,-0.025217762039651648,71.475,71.51040816326531
2021-05-19,2021,5,19,Wednesday,20,2021-20,70.33,76.27,70.33,75.22,10886300,0.0030671204625372095,71.41071428571429,71.5846
2021-05-20,2021,5,20,Thursday,20,2021-20,75.72,76.91,73.01,76.33,10951000,0.014756721514729954,71.53785714285715,71.7212
2021-05-21,2021,5,21,Friday,20,2021-20,77.48,84.68,77.31,82.5,31672600,0.08083319823051616,72.35357142857143,71.8932
2021-05-24,2021,5,24,Monday,21,2021-21,82.6,89.64,82.5,89.23,23117700,0.08157579826586181,73.75428571428571,72.2838
2021-05-25,2021,5,25,Tuesday,21,2021-21,90.0,90.11,85.51,89.32,14314600,0.0010085883055570566,75.37785714285714,72.6272
2021-05-26,2021,5,26,Wednesday,21,2021-21,89.95,95.0,88.75,89.71,17543500,0.004366316513445323,77.13857142857144,72.8814
2021-05-27,2021,5,27,Thursday,21,2021-21,89.26,97.5,87.59,97.47,19850300,0.08650097219289354,79.25071428571428,73.295
2021-05-28,2021,5,28,Friday,21,2021-21,96.85,98.95,92.53,93.77,13462600,-0.03796044456035996,81.37714285714286,73.8244
2021-06-01,2021,6,1,Tuesday,22,2021-22,94.77,97.93,93.22,96.89,13632300,0.0332729322627392,82.75142857142858,74.3522
2021-06-02,2021,6,2,Wednesday,22,2021-22,96.88,103.29,95.39,99.86,16728900,0.030653330987846283,84.48928571428571,74.9494
2021-06-03,2021,6,3,Thursday,22,2021-22,98.83,102.05,96.27,96.5,10907500,-0.03364711185474656,86.40499999999999,75.51939999999999
2021-06-04,2021,6,4,Friday,22,2021-22,100.68,103.87,98.52,99.57,14672000,0.03181346834014742,88.44928571428571,76.2208
2021-06-07,2021,6,7,Monday,23,2021-23,99.34,100.95,93.28,93.44,15214600,-0.06156470093608546,89.62857142857142,76.7326
2021-06-08,2021,6,8,Tuesday,23,2021-23,93.61,94.22,88.89,91.41,14403900,-0.021725157601208633,90.80142857142857,77.1414
2021-06-09,2021,6,9,Wednesday,23,2021-23,91.79,95.99,90.65,91.04,12739300,-0.00404772707317369,91.93142857142857,77.6216
2021-06-10,2021,6,10,Thursday,23,2021-23,91.2,91.82,86.83,91.0,12269200,-0.0004393773629731701,92.97928571428572,78.1382
2021-06-11,2021,6,11,Friday,23,2021-23,91.97,94.77,91.15,92.82,8673800,0.019999996646419937,93.71642857142857,78.69800000000001
2021-06-14,2021,6,14,Monday,24,2021-24,93.26,93.26,87.57,87.8,11659500,-0.05408313574198742,93.61428571428573,79.10719999999999
2021-06-15,2021,6,15,Tuesday,24,2021-24,87.71,90.76,86.84,89.8,10831800,0.02277904248842688,93.64857142857143,79.488
2021-06-16,2021,6,16,Wednesday,24,2021-24,82.88,86.42,79.88,82.59,43922800,-0.08028960433009757,93.14,79.71340000000001
2021-06-17,2021,6,17,Thursday,24,2021-24,84.76,86.33,82.0,82.98,12307700,0.004722206518176675,92.105,79.9984
2021-06-18,2021,6,18,Friday,24,2021-24,82.97,83.4,80.08,81.14,11130600,-0.022174064748714084,91.20285714285716,80.206
2021-06-21,2021,6,21,Monday,25,2021-25,80.57,83.36,78.56,82.51,11289400,0.01688443131485662,90.17571428571429,80.4196
2021-06-22,2021,6,22,Tuesday,25,2021-25,83.07,83.86,80.5,82.44,10138600,-0.0008483782936842266,88.93142857142857,80.5684
2021-06-23,2021,6,23,Wednesday,25,2021-25,83.2,85.45,82.0,84.86,8015500,0.029354659113035808,88.10000000000001,80.6246
2021-06-24,2021,6,24,Thursday,25,2021-25,83.5,87.7,83.36,87.34,8836200,0.0292245546747798,87.22642857142856,80.8644
2021-06-25,2021,6,25,Friday,25,2021-25,88.0,88.94,85.07,87.0,7594500,-0.0038927908420706148,86.76642857142858,81.0112
2021-06-28,2021,6,28,Monday,26,2021-26,86.99,94.39,86.99,93.04,14046500,0.06942529787962459,86.88285714285713,81.355
2021-06-29,2021,6,29,Tuesday,26,2021-26,91.55,93.31,89.8,92.6,7806500,-0.004729174947082582,86.99428571428572,81.767
2021-06-30,2021,6,30,Wednesday,26,2021-26,92.56,92.9,89.91,89.98,4366900,-0.028293684237151617,86.92142857142858,82.18180000000001
2021-07-01,2021,7,1,Thursday,26,2021-26,89.89,89.99,84.21,85.82,10272300,-0.04623253508457237,86.42142857142858,82.463
2021-07-02,2021,7,2,Friday,26,2021-26,87.16,87.24,84.89,86.2,5807700,0.004427840302601238,86.30714285714285,82.79
2021-07-06,2021,7,6,Tuesday,27,2021-27,87.32,88.75,85.32,86.98,6301400,0.009048798565036487,86.10571428571428,83.094
2021-07-07,2021,7,7,Wednesday,27,2021-27,87.85,89.35,85.65,86.4,6153000,-0.006668220380201317,86.37785714285714,83.324
2021-07-08,2021,7,8,Thursday,27,2021-27,83.28,88.05,82.51,86.88,6729500,0.005555506007662414,86.65642857142858,83.5746
2021-07-09,2021,7,9,Friday,27,2021-27,87.29,87.3,85.12,86.26,3936700,-0.007136223950134912,87.02214285714285,83.78699999999999
2021-07-12,2021,7,12,Monday,28,2021-28,87.1,89.87,84.85,86.54,6762000,0.0032459862318885424,87.30999999999999,83.9954
