Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,MCD,MCD,MCD,MCD,MCD,,,
2021-02-19,2021,2,19,Friday,07,2021-07,190.99,191.38,188.05,188.29,3181600,-0.014807477247071543,188.59999999999997,187.99848484848485
2021-02-22,2021,2,22,Monday,08,2021-08,187.63,188.96,186.03,188.13,2910800,-0.0008483239281320554,188.86214285714283,188.00235294117647
2021-02-23,2021,2,23,Tuesday,08,2021-08,190.29,191.36,186.68,187.47,3243000,-0.003489370482558485,188.96071428571432,187.98714285714286
2021-02-24,2021,2,24,Wednesday,08,2021-08,187.05,189.94,186.67,189.2,2887100,0.009227798778411733,189.2492857142857,188.02083333333334
2021-02-25,2021,2,25,Thursday,08,2021-08,188.7,188.89,186.07,187.14,3131400,-0.010878332218101194,189.2442857142857,187.99702702702703
2021-02-26,2021,2,26,Friday,08,2021-08,188.12,188.91,184.0,184.0,5334000,-0.016789180264378256,188.91642857142855,187.89184210526318
2021-03-01,2021,3,1,Monday,09,2021-09,185.08,187.79,185.08,185.88,2827500,0.01023591906001231,188.78642857142856,187.84025641025642
2021-03-02,2021,3,2,Tuesday,09,2021-09,185.66,187.36,184.05,186.26,3016600,0.002016558004896307,188.4042857142857,187.80075
2021-03-03,2021,3,3,Wednesday,09,2021-09,185.23,186.55,183.53,183.72,3488600,-0.01365773414785798,187.94142857142856,187.7012195121951
2021-03-04,2021,3,4,Thursday,09,2021-09,184.02,185.21,180.96,182.84,3926200,-0.004761464166842644,187.42357142857145,187.5854761904762
2021-03-05,2021,3,5,Friday,09,2021-09,183.65,185.87,181.16,185.1,3608100,0.012351174605050419,187.09071428571428,187.52767441860465
2021-03-08,2021,3,8,Monday,10,2021-10,185.39,187.97,184.89,186.65,3157100,0.008390553329883144,186.7971428571429,187.50772727272727
2021-03-09,2021,3,9,Tuesday,10,2021-10,188.01,188.52,185.91,186.15,3646700,-0.002677877504332904,186.56785714285712,187.47755555555554
2021-03-10,2021,3,10,Wednesday,10,2021-10,186.3,190.69,185.88,190.4,3447200,0.02282418277445042,186.51642857142858,187.54108695652172
2021-03-11,2021,3,11,Thursday,10,2021-10,191.64,192.12,188.78,188.85,3618000,-0.008157145215552997,186.55642857142857,187.56893617021277
2021-03-12,2021,3,12,Friday,10,2021-10,189.27,191.23,188.71,189.54,2818200,0.0036396017760966792,186.65714285714284,187.61
2021-03-15,2021,3,15,Monday,11,2021-11,190.7,196.86,190.57,196.78,5479700,0.03824062007830187,187.32214285714284,187.79714285714286
2021-03-16,2021,3,16,Tuesday,11,2021-11,196.0,197.53,193.84,196.25,3583400,-0.0027216120218346296,187.82571428571427,187.9662
2021-03-17,2021,3,17,Wednesday,11,2021-11,200.44,200.75,196.38,200.04,5240600,0.019330469030274022,188.74714285714285,188.237
2021-03-18,2021,3,18,Thursday,11,2021-11,199.66,201.15,197.63,198.96,3254600,-0.005399195128390155,189.81571428571428,188.46399999999997
2021-03-19,2021,3,19,Friday,11,2021-11,198.84,201.0,197.27,198.55,7719400,-0.0020637106728099708,190.7207142857143,188.69120000000004
2021-03-22,2021,3,22,Monday,12,2021-12,199.4,202.54,198.74,200.9,4220700,0.01182349675017158,191.76642857142855,188.94799999999998
2021-03-23,2021,3,23,Tuesday,12,2021-12,199.91,202.09,199.72,200.27,2794000,-0.003110342300192026,192.94857142857146,189.1232
2021-03-24,2021,3,24,Wednesday,12,2021-12,201.12,202.64,199.98,199.99,2442500,-0.0014259674803833722,194.17357142857142,189.322
2021-03-25,2021,3,25,Thursday,12,2021-12,200.97,201.12,198.55,200.12,3249600,0.0006693672286106622,195.24642857142857,189.57
2021-03-26,2021,3,26,Friday,12,2021-12,200.12,201.09,198.53,201.02,3263100,0.004505084603864784,196.27285714285713,189.82739999999998
2021-03-29,2021,3,29,Monday,13,2021-13,200.68,203.41,200.21,202.93,3621300,0.009502161258927,197.4714285714286,190.1866
2021-03-30,2021,3,30,Tuesday,13,2021-13,201.84,202.64,200.14,200.82,2419000,-0.010424716811597512,198.21571428571428,190.4786
2021-03-31,2021,3,31,Wednesday,13,2021-13,199.95,202.17,199.94,200.07,3564100,-0.0037334336716585703,199.0171428571429,190.77020000000002
2021-04-01,2021,4,1,Thursday,13,2021-13,200.54,201.92,199.3,201.02,2441200,0.004773914417627312,199.83714285714285,191.0002
2021-04-05,2021,4,5,Monday,14,2021-14,202.26,204.85,201.9,204.27,2866300,0.016162418460352823,200.37214285714285,191.297
2021-04-06,2021,4,6,Tuesday,14,2021-14,205.04,207.33,204.16,207.0,3230900,0.013371211323298882,201.14000000000001,191.651
2021-04-07,2021,4,7,Wednesday,14,2021-14,206.8,207.81,206.41,207.63,2551300,0.0030185320174842545,201.68214285714288,192.0184
2021-04-08,2021,4,8,Thursday,14,2021-14,207.63,207.8,204.58,205.52,2772200,-0.010145624207631432,202.1507142857143,192.30740000000003
2021-04-09,2021,4,9,Friday,14,2021-14,205.47,206.74,204.29,206.62,2728900,0.005342007413416283,202.72714285714284,192.767
2021-04-12,2021,4,12,Monday,15,2021-15,206.62,207.42,205.74,206.16,2292700,-0.0022465029658713664,203.10285714285712,193.22060000000002
2021-04-13,2021,4,13,Tuesday,15,2021-15,205.69,206.78,205.02,206.48,2570900,0.001558699056579682,203.54642857142855,193.66260000000003
2021-04-14,2021,4,14,Wednesday,15,2021-15,206.39,206.45,204.93,205.58,2129200,-0.004366196818799684,203.9457142857143,194.085
2021-04-15,2021,4,15,Thursday,15,2021-15,205.13,206.51,204.58,206.44,2063000,0.004211658281625397,204.39714285714288,194.49200000000002
2021-04-16,2021,4,16,Friday,15,2021-15,208.56,209.1,207.36,208.05,2694300,0.0077828601458533875,204.89928571428572,194.94979999999998
2021-04-19,2021,4,19,Monday,16,2021-16,208.08,208.24,206.04,206.91,2254800,-0.0054489146102992825,205.1835714285714,195.34380000000002
2021-04-20,2021,4,20,Tuesday,16,2021-16,206.41,208.16,206.26,207.99,1885700,0.005176563315336669,205.6957142857143,195.7318
2021-04-21,2021,4,21,Wednesday,16,2021-16,208.24,208.74,206.95,207.32,2065500,-0.0032188003648276897,206.21357142857144,196.12419999999997
2021-04-22,2021,4,22,Thursday,16,2021-16,207.82,208.91,207.03,207.94,1839500,0.0030141307619895308,206.70785714285714,196.4508
2021-04-23,2021,4,23,Friday,16,2021-16,208.68,209.98,208.07,209.39,2137500,0.006953744387685479,207.07357142857146,196.8346
2021-04-26,2021,4,26,Monday,17,2021-17,209.57,210.07,207.0,207.36,2490100,-0.009676889257953292,207.0992857142857,197.18
2021-04-27,2021,4,27,Tuesday,17,2021-17,207.59,210.32,207.45,209.74,2623800,0.011493352082972308,207.25,197.5796
2021-04-28,2021,4,28,Wednesday,17,2021-17,209.94,210.16,207.32,207.45,2777000,-0.010936952673128553,207.38785714285714,197.9134
2021-04-29,2021,4,29,Thursday,17,2021-17,208.86,210.48,207.64,209.95,3146700,0.012047488247536986,207.6257142857143,198.32519999999997
2021-04-30,2021,4,30,Friday,17,2021-17,208.87,210.91,208.75,210.73,2640400,0.003698969107230443,207.9521428571429,198.71740000000003
2021-05-03,2021,5,3,Monday,18,2021-18,212.43,212.6,210.1,210.26,2458000,-0.0022025854347249574,208.22214285714287,199.1568
2021-05-04,2021,5,4,Tuesday,18,2021-18,209.43,210.77,208.19,208.74,2529700,-0.007216984733212195,208.44785714285715,199.56900000000002
2021-05-05,2021,5,5,Wednesday,18,2021-18,208.98,210.07,206.69,209.8,2070000,0.0050458075821322446,208.68785714285713,200.0156
2021-05-06,2021,5,6,Thursday,18,2021-18,210.24,210.34,208.13,209.64,1832600,-0.0007659301247132655,208.8014285714286,200.4244
2021-05-07,2021,5,7,Friday,18,2021-18,209.76,210.4,208.86,209.62,1406800,-8.494213271714735e-05,208.99500000000003,200.87400000000002
2021-05-10,2021,5,10,Monday,19,2021-19,209.85,212.37,209.85,211.65,2031500,0.00966595470328957,209.2564285714286,201.42700000000002
2021-05-11,2021,5,11,Tuesday,19,2021-19,212.21,212.26,207.26,208.74,3028500,-0.013706685142481634,209.3578571428571,201.8842
2021-05-12,2021,5,12,Wednesday,19,2021-19,207.18,208.49,203.13,203.46,3198200,-0.025314123963068536,209.03785714285715,202.2282
2021-05-13,2021,5,13,Thursday,19,2021-19,203.51,206.26,203.41,205.09,2819200,0.008028295261634177,208.7307142857143,202.65560000000002
2021-05-14,2021,5,14,Friday,19,2021-19,205.93,207.66,205.72,206.83,1943100,0.008486711529852808,208.69285714285715,203.1354
2021-05-17,2021,5,17,Monday,20,2021-20,206.02,207.35,205.52,206.8,1630900,-0.00017255519571512945,208.48285714285717,203.56939999999997
2021-05-18,2021,5,18,Tuesday,20,2021-20,206.99,208.2,206.77,207.02,2913000,0.0010791172621573697,208.4521428571429,203.9768
2021-05-19,2021,5,19,Wednesday,20,2021-20,205.5,205.85,203.67,205.43,2967000,-0.007674811527570324,208.12928571428571,204.3624
2021-05-20,2021,5,20,Thursday,20,2021-20,205.94,208.89,205.8,207.24,1890200,0.008820238097183353,207.87999999999997,204.69920000000002
2021-05-21,2021,5,21,Friday,20,2021-20,207.46,208.33,205.58,206.41,2601100,-0.004048449155944822,207.60500000000002,205.0504
2021-05-24,2021,5,24,Monday,21,2021-21,206.66,207.66,206.21,207.0,1823300,0.0028973154072169383,207.4807142857143,205.3996
