Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,CVS,CVS,CVS,CVS,CVS,,,
2021-01-04,2021,1,4,Monday,01,2021-01,57.43,58.77,56.97,58.52,11367200,0.0,58.52,58.52
2021-01-05,2021,1,5,Tuesday,01,2021-01,58.81,59.38,58.01,58.92,8012200,0.0067151593544254595,58.72,58.72
2021-01-06,2021,1,6,Wednesday,01,2021-01,58.53,61.07,58.49,60.67,10142400,0.029804116370159228,59.370000000000005,59.370000000000005
2021-01-07,2021,1,7,Thursday,01,2021-01,61.08,62.23,60.44,61.87,7962300,0.01970796402867303,59.995000000000005,59.995000000000005
2021-01-08,2021,1,8,Friday,01,2021-01,62.71,63.82,62.23,62.6,11254700,0.01175810623810336,60.516,60.516
2021-01-11,2021,1,11,Monday,02,2021-02,62.09,63.95,62.09,63.61,6675000,0.01616346842959726,61.031666666666666,61.031666666666666
2021-01-12,2021,1,12,Tuesday,02,2021-02,63.58,64.58,63.16,63.77,5641300,0.0024980408434145396,61.42285714285715,61.42285714285715
2021-01-13,2021,1,13,Wednesday,02,2021-02,63.51,63.65,62.31,62.65,6223800,-0.01757169213540144,61.57625,61.57625
2021-01-14,2021,1,14,Thursday,02,2021-02,62.71,63.28,62.16,62.75,5088100,0.001735517296624245,61.70666666666667,61.70666666666667
2021-01-15,2021,1,15,Friday,02,2021-02,62.73,63.93,62.59,63.77,8110300,0.016122480911747505,61.913,61.913
2021-01-19,2021,1,19,Tuesday,03,2021-03,64.38,64.38,62.97,63.05,5919000,-0.011277034108801653,62.01636363636364,62.01636363636364
2021-01-20,2021,1,20,Wednesday,03,2021-03,63.06,63.1,62.37,62.92,4764400,-0.001990026993938687,62.09166666666667,62.09166666666667
2021-01-21,2021,1,21,Thursday,03,2021-03,62.88,63.01,61.9,62.36,5029500,-0.00896297462115303,62.112307692307695,62.112307692307695
2021-01-22,2021,1,22,Friday,03,2021-03,62.06,62.54,61.47,62.39,4183600,0.0005401095414825363,62.13214285714286,62.13214285714286
2021-01-25,2021,1,25,Monday,04,2021-04,61.87,61.89,60.74,61.63,7554800,-0.012277633847376124,62.354285714285716,62.09866666666667
2021-01-26,2021,1,26,Tuesday,04,2021-04,61.76,62.61,61.68,62.48,4667600,0.013932720285964928,62.60857142857143,62.1225
2021-01-27,2021,1,27,Wednesday,04,2021-04,61.89,62.45,60.77,60.96,6279800,-0.024383775489116633,62.62928571428571,62.05411764705883
2021-01-28,2021,1,28,Thursday,04,2021-04,60.98,62.11,60.79,61.12,5020000,0.002623841830083684,62.575714285714284,62.00222222222222
2021-01-29,2021,1,29,Friday,04,2021-04,61.04,61.7,59.8,60.31,6469500,-0.013221498467699488,62.412142857142854,61.913157894736834
2021-02-01,2021,2,1,Monday,05,2021-05,60.67,61.0,60.05,60.15,5207100,-0.002651786236656406,62.165,61.825
2021-02-02,2021,2,2,Tuesday,05,2021-05,60.35,61.15,59.93,60.46,5543900,0.005177711658821638,61.92857142857143,61.760000000000005
2021-02-03,2021,2,3,Wednesday,05,2021-05,60.39,62.01,60.05,61.65,6128200,0.019629791282050002,61.857142857142854,61.754999999999995
2021-02-04,2021,2,4,Thursday,05,2021-05,61.79,62.32,61.27,61.45,8117500,-0.003277019898733635,61.76428571428572,61.74173913043478
2021-02-05,2021,2,5,Friday,05,2021-05,61.64,61.75,60.55,60.76,6421800,-0.011232794580258276,61.549285714285716,61.70083333333333
2021-02-08,2021,2,8,Monday,06,2021-06,61.0,61.44,60.75,61.43,5826900,0.011083397211614887,61.43357142857143,61.69
2021-02-09,2021,2,9,Tuesday,06,2021-06,61.65,62.41,61.32,61.86,8100200,0.006987909865879605,61.35785714285714,61.69653846153846
2021-02-10,2021,2,10,Wednesday,06,2021-06,62.25,62.42,61.29,62.15,4752800,0.00462664855341699,61.34285714285714,61.71333333333333
2021-02-11,2021,2,11,Thursday,06,2021-06,62.29,62.36,61.38,61.95,4725500,-0.0031151179405135565,61.31142857142857,61.721785714285716
2021-02-12,2021,2,12,Friday,06,2021-06,61.93,62.76,61.9,62.47,5870600,0.008287970125550714,61.371428571428574,61.74758620689656
2021-02-16,2021,2,16,Tuesday,07,2021-07,63.36,63.46,59.08,59.37,18932600,-0.04958904442531409,61.14928571428571,61.66833333333333
2021-02-17,2021,2,17,Wednesday,07,2021-07,59.13,61.32,59.02,61.2,13280300,0.030908933896674595,61.166428571428575,61.653225806451616
2021-02-18,2021,2,18,Thursday,07,2021-07,61.15,61.42,60.03,60.2,7328800,-0.016366542847594312,61.10071428571429,61.6078125
2021-02-19,2021,2,19,Friday,07,2021-07,60.1,60.12,59.17,59.28,6530800,-0.015380134074804097,61.027142857142856,61.53727272727273
2021-02-22,2021,2,22,Monday,08,2021-08,59.18,59.46,58.39,59.33,6054900,0.0008519819826950936,60.96857142857143,61.47235294117647
2021-02-23,2021,2,23,Tuesday,08,2021-08,58.69,59.6,58.47,58.62,8150600,-0.011918430071436337,60.83714285714286,61.390857142857136
